Event Name,Event Description,Event Start Date,Event Start Time,Event End Date,Event End Time,All Day Event,Timezone,Event Venue Name,Event Category,Event Tags,Event Website
"Computer Society presentation ""Service Oriented Architecture: Now What?""","Roger Bolton, IEEE Computer Society member and Boeing Associate Tech Fellow presented ""SOA, Now What?"", an analysis of what the Service Oriented Architecture paradigm means to software engineers and architects, as well as how it affects corporate business models. Roger will discuss how Service Oriented Architecture adoption as an organizational software strategy affects systems and software architecture development across a range of project types ranging from commercial, space, and defense domains.",2010-05-27,11:00:00,2010-05-27,13:00:00,false,US/Central,Huntsville,IEEE Computer Society,"#Service, #Oriented, #Architecture, #software, #verification, #validation",https://events.vtools.ieee.org/m/50264
IEEE Section Tour & Computer Society Meeting,"Q-Trackâ€™s mission is enabling â€œKnowing Where, Anywhere.â€ The companyâ€™s patented Near-Field Electromagnetic Ranging (NFERÂ®) systems employ a unique low-frequency, long-wavelength radio signal to achieve highly accurate (40 cm rms) location results even in complicated non-line-of-sight environments. NFERÂ® Real Time Location Systems enable â€œDosimulationâ„¢,â€ a radiation worker training system deployed in a quarter of U.S. nuclear plants. Q-Track also offers a proximity detection and collision avoidance system that protects people from their robotic co-workers at a variety of manufacturing plants nationwide, as well as location systems that enhance military training in urban environments.

Q-Track is a privately-held company located in Huntsville, AL. The companyâ€™s research and development was supported by the principals, private investors, and contracts and grants from Homeland Security, The U.S. Army, The U.S. Air Force, National Science Foundation, the Defense Advanced Research Projects Agency, the U.S. Department of Agriculture, and the National Institutes for Health.

Lunch will be provided by Q-Track. A technical presentation will be given discussing Q-Tracks innovations and a tour will be given of the facilities. Non-US Citizens are welcomed to attend. You do not have to be an IEEE member to attend. This meeting/tour will be limited to the first 30 people who RSVP.",2013-11-21,12:00:00,2013-11-21,13:00:00,false,US/Central,Huntsville,IEEE Computer Society,"#IEEE, #Section, #Tour, #JCAM, #Society, #Computer",https://events.vtools.ieee.org/m/165599
IEEE Computer Society Lunch-N-Learn:  Forward-thinking Mobile Technology,"Some applications for discussion and demonstration will include: Google Glass, the Golden-i headset, and video conferencing on wheels. Discuss potential application of emerging mobile technologies in your company or project.

http://www.vgocom.com/

http://www.google.com/glass/start/

http://ces.cnet.com/8301-34441_1-57563301/golden-i-headset-could-change-the-way-people-save-lives/



About Verizon: ""Connecting at the Speed of Life""

Every day, we connect people, companies and communities with powerful technology, enabling the convenience of mobile services when and where our customers want it. Welcome to connected living at Verizon Wireless.",2014-03-18,11:15:00,2014-03-18,12:45:00,false,US/Central,"475 Quality Circle, Huntsville",IEEE Computer Society,"#Computer, #Society",https://events.vtools.ieee.org/m/24447
IEEE Computer Society's Lunch-N-Learn: Enabling NASA's Mission in the New Age of IT,"Jonathan Pettus, Chief Information officer for NASA/MSFC, will speak from his viewpoint on ""Enabling NASAâ€™s Mission in the New Age of IT"". This will be a great opportunity to hear about the latest trends of computing in the field of aeronautics. Lunch will be provided FREE for IEEE members and $5 for non-members. All are welcomed to attend.",2014-10-15,11:00:00,2014-10-15,12:45:00,false,US/Central,"301 Voyager Way, Huntsville",IEEE Computer Society,"#Computer, #Information, #Technology, #IT",https://events.vtools.ieee.org/m/28899
IEEE Computer Society's Lunch-N-Learn: Developing a Successful Smartphone Application,"Tommy Shrove, Software Engineering Manager at COLSA Corporation in Huntsville, will provide his experience and answer your questions regarding the development of smartphone applications. Lunch will be provided. All are welcomed to attend.

Registration is limited to 25 attendees. 

Place your lunch order on the Registration page.",2014-11-19,11:30:00,2014-11-19,12:30:00,false,US/Central,"1525 Perimeter Pkwy, Suite 415, Huntsville",IEEE Computer Society,"#Computer, #Information, #Technology, #IT",https://events.vtools.ieee.org/m/29883
Using mongoDB for Database Scalability and Agility,"MongoDB is an open-source document database that provides high performance, high availability, and automatic scaling. It is used in a wide variety of environments including real-time data collection and big data analysis, and it is also used in conjunction with analytical systems such as Hadoop for data map reductions. 
 In this technical Computer Society talk, Jason Pugh, Software Architect with COLSA Corporation in Huntsville, will give a brief overview of mongoDB including how to set up simple databases. He will also offer suggestions for when mongoDB is most applicable depending on user data requirements. Has your team been thinking of using mongoDB in an upcoming project? Join us on March 12 have your application-specific questions answered! Lunch will be served.",2015-03-12,11:30:00,2015-03-12,12:45:00,false,America/Chicago,Huntsville,IEEE Computer Society,"#Database, #Analysis, #Computers, #Big, #Data",https://events.vtools.ieee.org/m/166561
Joint TEM/Computer Societies Meeting: Software Architecture Modeling,"The Technology and Engineering Management and Computer Societies will host David Evans to discuss Software Architecture Models and their applications. The presentation will provide an introduction to the concept of software architecture and its use in systems reasoning to ensure solutions meet technical and operational requirements, while optimally addressing common quality system attributes. Emphasis will be placed on supportive modeling and risk driven focus as they relate to both development and systems project management. 
 Lunch will be served.",2015-09-22,11:00:00,2015-09-22,12:00:00,false,America/Chicago,Huntsville,IEEE Computer Society,"#technology, #management, #software, #engineering, #architectures, #models",https://events.vtools.ieee.org/m/166544
IEEE AESS & PACE Technical Meeting - Power Grid Defense,The Achilles heel of our modern world is our system of power distribution. (The power grid.) Today we are so dependent upon it that its loss could end civilization as we know it. Unfortunately the probability of this is very high if we do nothing. The threats to the grid range from terrorist activities to solar Coronal Mass Ejections (CME) to nuclear generated Electromagnetic Pulses (EMP). The chances are this could rob us of our ability to survive as a species. The Congressional EMP Commission warned that up to 9 of 10 Americans could die from starvation and societal collapse from a nationwide blackout lasting one year – and that’s not the worst of it: Decades of spent fuel rods from 238 US nuclear reactors (not counting military units) are stored in huge cooling pools. Without power to pump in water the pools will evaporate exposing these rods to the atmosphere. These radioactive rods will burn on contact with air. Thousands of metric tons of highly radioactive materials could be released into the atmosphere. It could be worse than several full-scale nuclear wars.,2016-09-13,11:15:00,2016-09-13,12:45:00,false,US/Central,Huntsville,IEEE Computer Society,"#AESS, #PACE, #Power, #Grid",https://events.vtools.ieee.org/m/167468
IEEE TEMS Meeting: The Generalized Fluid System Simulation Program (GFSSP),"From the NASA Marshall Space Flight Center, Dr. Andre Leclair will provide an overview of the Generalize Fluid System Simulation Program, which is used to model fluid flows at the system level. The meeting will be Tuesday, 18 October at 11 am.",2016-10-18,11:00:00,2016-10-18,12:30:00,false,America/Chicago,Huntsville,IEEE Computer Society,"#fluid, #dynamics, #modeling, #system, #engineering",https://events.vtools.ieee.org/m/167467
Introduction to Modern Web Development,"Modern web development is a mess, it really is. The environment today is saturated with frameworks, tools and little known best practices that makes it difficult for even experienced developers to get started. In this introductory talk we will go through many common, and some uncommon but up and coming, languages and some of the more popular frameworks.",2017-02-15,11:30:00,2017-02-15,12:30:00,false,America/Chicago,"1525 Perimeter Parkway, Huntsville",IEEE Computer Society,"#web, #development, #frameworks, #javascript, #python, #ruby, #rails, #on, #go",https://events.vtools.ieee.org/m/43714
